	SRR8894380	SRR4198666	ERR3761197	ERR4011035	SRR5260499	ERR3761220	SRR5260500	ERR3761196	ERR4011033	SRR6754098	SRR4198832	SRR6754103	ERR3761214	SRR6754086	ERR3761212	ERR3761218	ERR3761210	SRR6754092	SRR6754100	ERR3761219	ERR3761195	SRR6754093	ERR3761211	ERR4011032	SRR6754088	SRR3184739	ERR3761215	ERR3761206	ERR3761221	SRR5260498	SRR9302960	ERR3761209	ERR3761194	SRR6754102	SRR7054681	SRR12261223	ERR3761213	SRR9302959	SRR1173821	SRR9302962	ERR4011037	SRR6754101	SRR9302961	ERR3761199
SRR4198832	0.4815	0.0316	0.2755	0.1763	0.2852	0.2541	0.2727	0.2520	0.1696	0.2633	NA	0.2706	0.2328	0.2480	0.2239	0.2339	0.2228	0.2398	0.2758	0.2350	0.3043	0.2544	0.2282	0.1729	0.2492	0.2453	0.2309	0.2279	0.2523	0.2798	0.4615	0.2297	0.2688	0.3080	0.1404	0.2819	0.2234	0.4236	0.0988	0.2094	0.1766	0.2487	0.2013	0.2631
SRR6754103	0.5286	0.2742	0.0731	0.1643	0.4124	0.0666	0.4029	0.0638	0.1548	0.0795	0.2706	NA	0.0689	0.0771	0.0678	0.0766	0.0700	0.0741	0.0736	0.0740	0.0825	0.0642	0.0717	0.1658	0.0777	0.2657	0.0705	0.0720	0.0679	0.4051	0.5111	0.0788	0.0168	0.0857	0.2073	0.4057	0.0660	0.4726	0.2484	0.2936	0.1644	0.0683	0.2834	0.0821
ERR3761214	0.5075	0.2358	0.0776	0.1344	0.3869	0.0777	0.3769	0.0668	0.1271	0.0702	0.2328	0.0689	NA	0.0434	0.0530	0.0436	0.0550	0.0403	0.0763	0.0417	0.1062	0.0769	0.0549	0.1339	0.0455	0.2281	0.0362	0.0531	0.0742	0.3786	0.4894	0.0591	0.0686	0.1075	0.1678	0.3777	0.0510	0.4513	0.2167	0.2642	0.1343	0.0713	0.2542	0.0700
SRR6754086	0.5167	0.2520	0.0799	0.1480	0.3947	0.0836	0.3856	0.0731	0.1416	0.0736	0.2480	0.0771	0.0434	NA	0.0696	0.0487	0.0664	0.0460	0.0821	0.0478	0.1108	0.0837	0.0695	0.1478	0.0458	0.2436	0.0404	0.0673	0.0841	0.3862	0.4992	0.0737	0.0754	0.1132	0.1840	0.3873	0.0642	0.4595	0.2324	0.2754	0.1489	0.0755	0.2682	0.0740
ERR3761212	0.5015	0.2282	0.0842	0.1126	0.3835	0.0655	0.3727	0.0652	0.1063	0.0834	0.2239	0.0678	0.0530	0.0696	NA	0.0549	0.0337	0.0589	0.0847	0.0574	0.1073	0.0660	0.0357	0.1159	0.0678	0.2115	0.0504	0.0380	0.0663	0.3764	0.4833	0.0446	0.0658	0.1127	0.1544	0.3741	0.0333	0.4433	0.1987	0.2494	0.1119	0.0671	0.2384	0.0862
ERR3761218	0.5077	0.2393	0.0813	0.1365	0.3874	0.0834	0.3774	0.0677	0.1295	0.0690	0.2339	0.0766	0.0436	0.0487	0.0549	NA	0.0587	0.0469	0.0777	0.0429	0.1086	0.0813	0.0591	0.1367	0.0481	0.2300	0.0416	0.0608	0.0797	0.3795	0.4900	0.0680	0.0760	0.1115	0.1686	0.3795	0.0584	0.4499	0.2173	0.2629	0.1361	0.0709	0.2539	0.0742
ERR3761210	0.5022	0.2274	0.0842	0.1118	0.3842	0.0653	0.3734	0.0628	0.1040	0.0842	0.2228	0.0700	0.0550	0.0664	0.0337	0.0587	NA	0.0628	0.0830	0.0603	0.1067	0.0676	0.0364	0.1151	0.0732	0.2094	0.0547	0.0373	0.0661	0.3766	0.4846	0.0444	0.0667	0.1129	0.1531	0.3744	0.0334	0.4440	0.1988	0.2485	0.1119	0.0696	0.2390	0.0883
SRR6754092	0.5124	0.2444	0.0777	0.1409	0.3906	0.0806	0.3818	0.0665	0.1347	0.0700	0.2398	0.0741	0.0403	0.0460	0.0589	0.0469	0.0628	NA	0.0790	0.0463	0.1068	0.0786	0.0612	0.1421	0.0494	0.2380	0.0395	0.0625	0.0795	0.3829	0.4944	0.0702	0.0726	0.1101	0.1762	0.3831	0.0589	0.4542	0.2247	0.2684	0.1422	0.0720	0.2589	0.0729
SRR6754100	0.5326	0.2787	0.0236	0.1752	0.4142	0.0942	0.4039	0.0460	0.1687	0.0530	0.2758	0.0736	0.0763	0.0821	0.0847	0.0777	0.0830	0.0790	NA	0.0752	0.0670	0.0939	0.0895	0.1787	0.0792	0.2765	0.0746	0.0908	0.0942	0.4053	0.5139	0.0953	0.0742	0.0721	0.2136	0.4063	0.0860	0.4776	0.2599	0.3007	0.1776	0.0471	0.2914	0.0605
ERR3761219	0.5076	0.2386	0.0783	0.1348	0.3865	0.0803	0.3779	0.0667	0.1249	0.0687	0.2350	0.0740	0.0417	0.0478	0.0574	0.0429	0.0603	0.0463	0.0752	NA	0.1087	0.0807	0.0629	0.1342	0.0473	0.2325	0.0400	0.0622	0.0808	0.3804	0.4895	0.0673	0.0703	0.1104	0.1672	0.3793	0.0564	0.4503	0.2160	0.2637	0.1348	0.0698	0.2550	0.0725
ERR3761195	0.5461	0.3093	0.0658	0.2053	0.4288	0.1086	0.4198	0.0756	0.1978	0.0945	0.3043	0.0825	0.1062	0.1108	0.1073	0.1086	0.1067	0.1068	0.0670	0.1087	NA	0.1104	0.1084	0.2112	0.1113	0.3007	0.1030	0.1089	0.1108	0.4199	0.5297	0.1160	0.0848	0.0210	0.2446	0.4241	0.1058	0.4935	0.2956	0.3266	0.2105	0.0767	0.3159	0.1000
SRR6754093	0.5245	0.2576	0.0896	0.1457	0.4075	0.0286	0.3964	0.0781	0.1382	0.0901	0.2544	0.0642	0.0769	0.0837	0.0660	0.0813	0.0676	0.0786	0.0939	0.0807	0.1104	NA	0.0687	0.1441	0.0859	0.2592	0.0782	0.0695	0.0275	0.3997	0.5066	0.0750	0.0645	0.1093	0.1902	0.4012	0.0680	0.4661	0.2347	0.2827	0.1437	0.0819	0.2733	0.0950
