ID,coordinates
SRR10132630,40.02833 N 116.3642 E
SRR10132631,40.02722 N 116.3567 E
SRR10132632,40.02694 N 116.3528 E
SRR10132635,40.02639 N 116.3489 E
SRR10132636,40.02778 N 116.3606 E
SRR10132637,40.02972 N 116.3722 E
SRR10132638,40.02917 N 116.3681 E
SRR10132639,40.02833 N 116.3642 E
SRR10132640,40.02722 N 116.3567 E
SRR10132641,40.02694 N 116.3528 E
SRR10132642,40.02639 N 116.3489 E
SRR10132643,40.02778 N 116.3606 E
SRR10132644,40.02972 N 116.3722 E
SRR10132646,40.02917 N 116.3681 E
SRR10132647,40.02833 N 116.3642 E
SRR10132648,40.02722 N 116.3567 E
SRR10132649,40.02694 N 116.3528 E
SRR10132650,40.02778 N 116.3606 E
SRR10132651,40.02917 N 116.3681 E
SRR10132652,40.02833 N 116.3642 E
SRR10132653,40.02722 N 116.3567 E
SRR10132654,40.02694 N 116.3528 E
SRR10132655,40.02917 N 116.3681 E
SRR10132657,40.02833 N 116.3642 E
SRR10132658,39.90611 N 116.5347 E
SRR10132659,39.90667 N 116.5303 E
SRR10132660,39.90722 N 116.5253 E
SRR10132661,39.90528 N 116.5400 E
SRR10132662,39.90639 N 116.5525 E
SRR10132663,39.90556 N 116.5478 E
SRR10132664,39.90583 N 116.5436 E
SRR10132665,39.90611 N 116.5347 E
SRR10132666,39.90667 N 116.5303 E
SRR10132668,39.90722 N 116.5253 E
SRR10132669,39.90528 N 116.5400 E
SRR10132670,39.90639 N 116.5525 E
SRR10132671,39.90556 N 116.5478 E
SRR10132672,39.90583 N 116.5436 E
SRR10132673,39.90611 N 116.5347 E
SRR10132674,39.90667 N 116.5303 E
SRR10132675,39.90722 N 116.5253 E
SRR10132676,39.90528 N 116.5400 E
SRR10132677,39.90639 N 116.5525 E
SRR10132679,39.90556 N 116.5478 E
SRR10132680,39.90583 N 116.5436 E
SRR10132681,39.90611 N 116.5347 E
SRR10132682,39.90667 N 116.5303 E
SRR10132683,39.90722 N 116.5253 E
SRR10132684,39.90528 N 116.5400 E
SRR10132685,39.90639 N 116.5525 E
SRR10132686,39.90556 N 116.5478 E
SRR10132687,39.90583 N 116.5436 E
SRR10132688,39.90611 N 116.5347 E
SRR10132690,39.90667 N 116.5303 E
SRR10132691,39.90722 N 116.5253 E
SRR10132692,39.90528 N 116.5400 E
SRR10132693,39.90639 N 116.5525 E
SRR10132694,39.90556 N 116.5478 E
SRR10132695,39.90583 N 116.5436 E
SRR10132696,39.90611 N 116.5347 E
SRR10132697,39.90667 N 116.5303 E
SRR10132698,39.90528 N 116.5400 E
SRR10132699,39.90556 N 116.5478 E
SRR10132701,39.90583 N 116.5436 E
SRR10131203,20.0 S 43.8 W
SRR10129838,40.37 N 115.79 E
SRR10129839,39.99 N 116.30 E
SRR10069935,6.4021 S 50.351 W
SRR10066347,81.0294 N 81.6440 W
SRR10066348,81.0294 N 81.6440 W
SRR10066349,81.0294 N 81.6440 W
SRR10066350,81.0294 N 81.6440 W
SRR10066351,81.0294 N 81.6440 W
SRR10066352,81.0294 N 81.6440 W
SRR10066353,81.0294 N 81.6440 W
SRR10066354,81.0294 N 81.6440 W
SRR10066355,81.0294 N 81.6440 W
SRR10036018,38.943062 N 94.593613 W
SRR10036019,38.903159 N 94.578199 W
SRR10036020,38.903159 N 94.578199 W
SRR10036021,39.119258 N 94.476065 W
SRR10036022,39.119258 N 94.476065 W
SRR10036023,39.119258 N 94.476065 W
SRR10036024,39.119097 N 94.489562 W
SRR10036025,38.939143 N 94.561442 W
SRR10036026,39.119097 N 94.489562 W
SRR10036027,39.119097 N 94.489562 W
SRR10036028,39.087112 N 94.49946 W
SRR10036029,39.087112 N 94.49946 W
SRR10036030,39.087112 N 94.49946 W
SRR10036031,39.017381 N 94.521087 W
SRR10036032,39.017381 N 94.521087 W
SRR10036033,39.017381 N 94.521087 W
SRR10036034,38.943062 N 94.593613 W
SRR10036035,38.943062 N 94.593613 W
SRR10036036,38.939143 N 94.561442 W
SRR10036037,38.932129 N 94.61322 W
SRR10036038,38.932129 N 94.61322 W
SRR10036039,38.932129 N 94.61322 W
SRR10036040,38.93085 N 94.631627 W
SRR10036041,38.93085 N 94.631627 W
SRR10036042,38.93085 N 94.631627 W
SRR10036043,38.922873 N 94.625833 W
SRR10036044,38.922873 N 94.625833 W
